"","Customer","Geographic indicator","Months with service","Age in years","Marital status","Years at current address","Household income in thousands","Level of education","Years with current employer","Retired","Gender","Number of people in household","Customer category","Toll free service","Equipment rental","Calling card service","Wireless service","Long distance last month","Toll free last month","Equipment last month","Calling card last month","Wireless last month","Long distance over tenure","Toll free over tenure","Equipment over tenure","Calling card over tenure","Wireless over tenure","Multiple lines","Voice mail","Paging service","Internet","Caller ID","Call waiting","Call forwarding","Three way calling","Electronic billing","churn"
"1","ID0001","Zone 2",13,44,"Married",9,64,"Graduate",5,"No","Male",2,"Category 1","No","No","Yes","No",3.7,0,0,7.5,0,37.45,0,0,110,0,"No","No","No","No","No","No","Yes","No","No","No"
"2","ID0002","Zone 3",11,33,"Married",7,136,"Doctorate",5,"No","Male",6,"Category 4","Yes","No","Yes","Yes",4.4,20.75,0,15.25,35.7,42,211.45,0,125,380.35,"No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No"
"3","ID0003","Zone 3",68,52,"Married",24,116,"Did Not Complete High School",29,"No","Female",2,"Category 3","Yes","No","Yes","No",18.15,18,0,30.25,0,1300.6,1247.2,0,2150,0,"No","No","No","No","Yes","Yes","No","Yes","No","No"
"4","ID0004","Zone 2",33,33,"Unmarried",12,33,"Completed High School",0,"No","Female",1,"Category 1","No","No","No","No",9.45,0,0,0,0,288.8,0,0,0,0,"No","No","No","No","No","No","No","No","No","No"
"5","ID0005","Zone 2",23,30,"Married",9,30,"Did Not Complete High School",2,"No","Male",4,"Category 3","No","No","No","No",6.3,0,0,0,0,157.05,0,0,0,0,"No","No","No","No","Yes","No","Yes","Yes","No","No"
"6","ID0006","Zone 2",41,39,"Unmarried",17,78,"Completed High School",16,"No","Female",1,"Category 3","Yes","No","Yes","No",11.8,19.25,0,13.5,0,487.4,798.4,0,570,0,"No","No","No","No","Yes","Yes","No","No","No","No"
"7","ID0007","Zone 3",45,22,"Married",2,19,"Completed High School",4,"No","Female",5,"Category 2","No","No","Yes","No",10.9,0,0,8.75,0,504.5,0,0,415,0,"Yes","No","No","Yes","No","Yes","No","No","Yes","No"
"8","ID0008","Zone 2",38,35,"Unmarried",5,76,"Completed High School",10,"No","Male",3,"Category 4","Yes","Yes","Yes","Yes",6.05,45,50.1,23.25,64.9,239.55,1873.05,1820.9,880,2256.7,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"9","ID0009","Zone 3",45,59,"Married",7,166,"Graduate",31,"No","Male",5,"Category 3","Yes","No","Yes","No",9.75,28.5,0,12,0,449.05,1240.15,0,505,0,"Yes","No","No","No","Yes","Yes","Yes","Yes","No","No"
"10","ID0010","Zone 1",68,41,"Married",21,72,"Did Not Complete High School",22,"No","Male",3,"Category 2","No","No","Yes","No",24.15,0,0,16.5,0,1659.7,0,0,1155,0,"Yes","No","No","No","No","No","No","No","No","No"
"11","ID0011","Zone 2",5,33,"Unmarried",10,125,"Graduate",5,"No","Female",1,"Category 1","No","Yes","No","No",4.85,0,26.15,0,0,17.25,0,110.1,0,0,"No","No","Yes","Yes","No","No","No","No","Yes","Yes"
"12","ID0012","Zone 3",7,35,"Unmarried",14,80,"Completed High School",15,"No","Female",1,"Category 3","Yes","No","Yes","No",7.1,22,0,23.75,0,47.45,166.1,0,145,0,"No","Yes","No","No","Yes","Yes","Yes","Yes","No","No"
"13","ID0013","Zone 1",41,38,"Married",8,37,"Completed High School",9,"No","Female",3,"Category 1","No","No","Yes","No",8.55,0,0,41.75,0,308.7,0,0,1650,0,"No","No","No","No","No","No","No","No","No","No"
"14","ID0014","Zone 2",57,54,"Married",30,115,"Graduate",23,"No","Female",3,"Category 4","Yes","Yes","No","Yes",15.6,46.25,46.7,0,61.05,825.35,2624.25,2590.95,0,3348.85,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"15","ID0015","Zone 2",9,46,"Unmarried",3,25,"Did Not Complete High School",8,"No","Female",2,"Category 1","No","No","No","No",4.4,0,0,0,0,36.8,0,0,0,0,"No","No","No","No","No","No","No","No","No","No"
"16","ID0016","Zone 1",29,38,"Married",12,75,"Doctorate",1,"No","Male",4,"Category 2","No","Yes","Yes","No",5.1,0,30.25,11.25,0,146.25,0,780.8,295,0,"Yes","No","No","Yes","No","No","No","No","No","No"
"17","ID0017","Zone 3",60,57,"Unmarried",38,162,"Completed High School",30,"No","Male",1,"Category 3","Yes","Yes","Yes","No",16.15,29.75,31.3,30,0,946.9,1767.6,1788.95,1795,0,"Yes","No","No","No","Yes","Yes","Yes","Yes","No","No"
"18","ID0018","Zone 3",34,48,"Unmarried",3,49,"Completed High School",6,"No","Female",3,"Category 3","Yes","No","No","No",6.65,18.5,0,0,0,230.8,614.3,0,0,0,"No","No","No","No","No","Yes","Yes","Yes","No","No"
"19","ID0019","Zone 2",1,24,"Unmarried",3,20,"Did Not Complete High School",3,"No","Male",1,"Category 1","No","No","No","No",1.05,0,0,0,0,1.05,0,0,0,0,"No","No","No","No","No","No","No","No","No","No"
